,sim_step,depth
0,0,9.411093945517452e-06
1,1,0.00020668014088362263
2,2,0.0005349610300065683
3,3,0.0010171046777069542
4,4,0.0013500260743475648
5,5,0.0015381947804048387
6,6,0.0017978922951049203
7,7,0.00211715689001148
8,8,0.0024826062901400904
9,9,0.002882889096576578
10,10,0.0033091740131731963
11,11,0.003754673921364806
12,12,0.004214076851709133
13,13,0.00468309255565393
14,14,0.005158143133494372
15,15,0.0056361370287291105
16,16,0.006114334257046813
17,17,0.006583487825393623
18,18,0.007049184907163925
19,19,0.007515597354410606
20,20,0.007974165407751171
21,21,0.008423157564126392
22,22,0.008861243834359097
23,23,0.009287549572166298
24,24,0.009701603339624804
25,25,0.01010327698462549
26,26,0.010492729024754751
27,27,0.010870335281994584
28,28,0.011236617077291716
29,29,0.011592180410211957
30,30,0.011937668434864867
31,31,0.012273726858905138
32,32,0.01260098079701783
33,33,0.012920020790376607
34,34,0.013231395586246893
35,35,0.01353560957240395
36,36,0.013833123208019993
37,37,0.01412435523460666
38,38,0.014409685823294478
39,39,0.014689460102381485
40,40,0.01496399171830523
41,41,0.015233566228533502
42,42,0.01549844422177796
43,43,0.015758864122870236
44,44,0.01601504467726519
45,45,0.01626718713143049
46,46,0.016515477136081372
47,47,0.01676008640331417
48,48,0.017001174148881387
49,49,0.01723888834890277
50,50,0.01747336683734394
51,51,0.01770473826729863
52,52,0.01793312295587188
53,53,0.018158633629485076
54,54,0.018381376083795337
55,55,0.018601449770162103
56,56,0.0188189483186853
57,57,0.019033960006244032
58,58,0.019246568176642373
59,59,0.01945685161887484
60,60,0.01966488490862061
61,61,0.01987073871732835
62,62,0.02007448009263313
63,63,0.020276172713330504
64,64,0.0204758771217008
65,65,0.020673650935611815
66,66,0.020869549042521262
67,67,0.02106362377723754
68,68,0.021255925085073644
69,69,0.021446500671836375
70,70,0.021635396141926798
71,71,0.021822655125683734
72,72,0.02200831939697656
73,73,0.022192428981944182
74,74,0.02237502225968119
75,75,0.022556136055587952
76,76,0.02273580572802714
77,77,0.022914065248863996
78,78,0.02309094727840963
79,79,0.023266483235235363
80,80,0.02344070336128059
81,81,0.02361363678263626
82,82,0.023785311566349863
83,83,0.02395575477356557
84,84,0.024124992509284432
85,85,0.024293049969003826
86,86,0.02445995148247193
87,87,0.02462572055477245
88,88,0.024790379904936093
89,89,0.024953951502258247
90,90,0.02511645660048733
91,91,0.025277915770034385
92,92,0.025438348928342274
93,93,0.02559777536854114
94,94,0.025756213786507075
95,95,0.025913682306431297
96,96,0.026070198504998962
97,97,0.026225779434268806
98,98,0.026380441643337953
99,99,0.026534201198869862
100,100,0.026687073704557425
101,101,0.026839074319587982
102,102,0.026990217776172106
103,103,0.027140518396193605
104,104,0.027289990107033854
105,105,0.027438646456620017
106,106,0.027586500627743243
107,107,0.027733565451689583
108,108,0.027879853421223576
109,109,0.028025376702961676
110,110,0.028170147149170082
111,111,0.02831417630901959
112,112,0.028457475439327546
113,113,0.028600055514815183
114,114,0.028741927237906903
115,115,0.028883101048096122
116,116,0.029023587130900995
117,117,0.029163395426431683
118,118,0.029302535637589625
119,119,0.029441017237917883
120,120,0.02957884947912056
121,121,0.0297160413982683
122,122,0.02985260182470555
123,123,0.02998853938667461
124,124,0.03012386251767058
125,125,0.03025857946254043
126,126,0.030392698283338623
127,127,0.03052622686495114
128,128,0.030659172920498905
129,129,0.0307915439965312
130,130,0.030923347478018927
131,131,0.031054590593157023
132,132,0.031185280417984865
133,133,0.03131542388083309
134,134,0.03144502776660476
135,135,0.03157409872089823
136,136,0.03170264325397888
137,137,0.03183066774460644
138,138,0.031958178443724256
139,139,0.03208518147801658
140,140,0.032211682853339516
141,141,0.03233768845803118
142,142,0.032463204066106074
143,143,0.03258823534033879
144,144,0.03271278783524151
145,145,0.032836866999939825
146,146,0.03296047818095116
147,147,0.03308362662486953
148,148,0.03320631748096086
149,149,0.03332855580367218
150,150,0.03345034655505819
151,151,0.033571694607128666
152,152,0.0336926047441197
153,153,0.03381308166469179
154,154,0.033933129984057696
155,155,0.03405275423604268
156,156,0.03417195887507991
157,157,0.03429074827814325
158,158,0.03440912674662017
159,159,0.03452709850812663
160,160,0.03464466771826645
161,161,0.03476183846233706
162,162,0.03487861475698362
163,163,0.03499500055180342
164,164,0.03511099973090253
165,165,0.035226616114406084
166,166,0.035341853459924286
167,167,0.03545671546397531
168,168,0.035571205763366975
169,169,0.03568532793653846
170,170,0.03579908550486343
171,171,0.035912481933916135
172,172,0.03602552063470147
173,173,0.036138204964850464
174,174,0.03625053822978236
175,175,0.03636252368383422
176,176,0.03647416453135941
177,177,0.03658546392779594
178,178,0.03669642498070544
179,179,0.036807050750784116
180,180,0.03691734425284637
181,181,0.03702730845678197
182,182,0.037136946288487786
183,183,0.03724626063077476
184,184,0.03735525432425106
185,185,0.037463930168181954
186,186,0.03757229092132745
187,187,0.03768033930275814
188,188,0.03778807799265002
189,189,0.037895509633059064
190,190,0.03800263682867599
191,191,0.03810946214756195
192,192,0.038215988121865684
193,193,0.03832221724852275
194,194,0.0384281519899373
195,195,0.03853379477464704
196,196,0.03863914799797179
197,197,0.03874421402264611
198,198,0.03884899517943662
199,199,0.03895349376774424
200,200,0.039057712056192045
201,201,0.03916165228319897
202,202,0.03926531665753981
203,203,0.03936870735889199
204,204,0.03947182653836944
205,205,0.03957467631904388
206,206,0.039677258796453986
207,207,0.03977957603910276
208,208,0.03988163008894332
209,209,0.0399834229618536
210,210,0.04008495664810018
211,211,0.0401862331127915
212,212,0.04028725429632089
